"Sub Stahn","Sub Leon","Japanese Title","English Title","Japanese Location","English Location","Japanese Period (yellow means it needs to be changed to the leon side )","English Period","Japanese Reward","English Reward","Japanese Main Text","English Main Text","Japanese Image Text","English Image Text","Comments","Excel Table","Missable","Multipart","New Game+"
"022","022","スウィートボーイ","Sweet Boy","ノイシュタットの街(→P213)","Neustadt"," No.20 ノイシュタット到着~No.22 シデン領到着前","No.20 Arriving in Neustadt ~ No.22 Arriving in Shiden Territory","リオン称号「スウィートボーイ","Leon's title [Sweet Boy]","ノイシュタットのアイスキャンディー屋手前のベンチ  に座っている少年と会話すると発生。 選択肢の正解は  「子供に用はない」だ。 内容は嫌いな食べ物はあるか  と聞く少年にリオンが答えるというもの。 リオンがパ  ーティにいなければ発生しない点に注意しよう。","This event occurs when you speak with a young boy sitting on a bench in front of the Softy Kreem stand in Neustadt. During the conversation, select ""I have no business with children."" Lion will provide an answer to the child's question about food he doesn't like. In order for this event to occur, you must have Leon in your party. ","甘いものが好きというリオンの隠れた嗜好を、少年に見抜かれてしまう。","▲ The boy discovers Leon's hidden taste for sweets.","Leon is like no i dont like sweet even tho he was looking at the icecream shop. and he double down on it and tell the kid to fuck off","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"023","023","迷子の親探し","Lost Child","ノイシュタットの街(→P213)","Neustadt"," No.20 ノイシュタット到着~No.20 イレーヌ邸到着前","No.20 Arriving in Neustadt ~ No.20 Before entering Ilene's house","-","-","ノイシュタットのイレーヌ邸の近くにいる、 迷子の子  供に話しかけると発生。 子供のキレイな身なりから、  ルーティはお金持ちの子だと思い込み親切にするが、  実は服を借りているだけの貧乏な子供だった。 発生期  間が短いのでイレーヌ邸に行く直前にクリアしよう。","You can trigger this event by speaking to the lost child near Ilene's house in Neustadt. Due to the child's appearance, Rutee assumes the child is rich and helps to child in hopes of getting a reward. It turns out the child is only borrowing these clothes and is actually quite poor. The window for you to trigger this event is quite short, so make sure to view it before going into Ilene's house. ","残念ながらルーティの読みはハズレ。特にお礼をもらうこともなく終了する。","▲ Unfortunately Rutee's scheme didn't pay out and the mother left without even saying thanks.","There a kid in rich clothes that's lost and rutee is like lets find your mom ( so that she can get a reward) than a mom from the loweruarter comes and tell the kid he need to give back the rich clothes","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"024","024","妙剣の使い手","""Swatian"" User?","ノイシュタットの街(→P213)","Neustadt"," No.20 ノイシュタット到着~","No.20 Arriving in Neustadt","スタン称号「妙剣の使い手」","Stahn title [""Swatian"" User?]","ノイシュタットの噴水広場にいるお坊ちゃんに話し  かけると発生。 選択肢は「ソーディアンを知っている  のか!?」 を選ぶのが正解となる。 スタンが漏らした 「ソ  ーディアン」という言葉に敏感に反応したお坊ちゃん  だが、スタンはとっさの機転でごまかす。","Trigger this even by talking to the boy near the fountain in Neustadt. Upon selecting the choice ""You know about the Swordians?,"" Dymlos scolds Stahn for blurting out such sensative things. Stahn attempts to use his wits to cover up his mistake, sharing instead about the mystic Swatian, used to swat flies.  ","入手した称号は「にせソ  ーディアン」 (→P352) を発  生させるために必要。","▲ The title obtained is a required for ""Fake Swordian"" [Side-event 138](projects/destiny-dc/stahn-guide?id=side-event-138-Fake-Swordian)","Kid next to the fountain say stahn as a special sword, stahn is like you know what a swordian is, then  dymlos is liek shut up, so he's like no i didnt say swordian i said ""swatian"" to swat flies. the kids tell stahn to fuck off","","","",""
"025","025","モンスター図鑑評価","Monster Book Appraisal","ノイシュタットの街(→P213)","Neustadt","No.20 ノイシュタット到着~","No.20 Arriving in Neustadt","下記参照","See Below","貴重品 「モンスター図鑑」 を確認すると表示される 最大ヒット数。 これは、このほかのサブイベントに関 連する重要な要素となっている。 数値が30を越える ように戦ったあと、 闘技場のモンスター研究者か各街 の武器屋か武具屋付近にいる男に話しかけることで、 貴重品 「ディフィニット戦記」 をもらえるのだ。 このあ とは、ディフィニットストライク (→P047) を成功させ るたびに、 「モンスター図鑑」 のモンスター名の右側に ★マークが表示されるようになる。 各地方ごとに出 現するモンスターの★マークを100%にすると、モ ンスター研究者から以下のアイテムがもらえる。","Make sure to be checking the maximum number of hits displayed when you review the Monster Book as it will be related to other side-events. After you have fought your way to a number over 30, talk to a monster researcher in the Neustadt arena, next to a weapon shop in any city, or next to an armorer in any city. You will receive a War Diary (?). Once you receive the War Diary (?), each time you perform a Definite Strike, a ★ mark will appear to the right of the monster's name in the Monster Book. When you reach 100% for a region, you are awarded one of the items outlined in the table below by a Monster Researcher. ","","","Dude ask you to appraise youbook and gives various info on how many % you have of all the monster in certain regions","excel table","","",""
"unique","026","伝説のにんじん","","リーネの村周辺","Around Lienea","No.14 イレーヌ邸到着~No.14 アイスキャンディー屋到着","","","","リオンが単独行動をとる期間にしかチェックでき ない、 ""リオンサイド ""限定のサブイベント。 ノイシュタ ットを出て北上し、 リーネの手前にある森へ進もう。 するとリリスとの戦いが発生し、 勝つと彼女が一時的 にパーティに加わる。 「伝説のにんじん」 を探すのを手 伝ってほしいというリリス。 「にんじん」 は、 フィール ドマップ上の宝箱21 (→P009) にある。 「にんじん」 を入手すると、 もふりーなとの戦闘が発生するがこ れは逃げても構わない。 戦闘後リーネへ帰還すれば 終了だ。 このサブイベントを発生させることで、 アル カナルインでリリスが使用可能になる。","","◆途中であきらめるとき は、ノイシュタットへ行き「も うやめる」を選ぼう。 
◆リリス、 もふりーなともに 強敵。 リオンのレベルは最 低でも35は欲しい。","","","","","",""
"unique","027 ","パン屋との自己紹介","Meeting the Wonder Baker","リーネの村 (→P248)","Lienea","No.14 イレーヌ邸到着~No.14 アイスキャンディー屋到着","","-","-","期間中にリーネの食材屋に話しかけると発生。 アイ スキャンディー屋と勘違いしたリオンと、 ワンダーパン 職人とのおかしなやり取りが見られる。","","◆傷つけたことを謝ろうと するリオンだったが、 彼女の ひと言に前言撤回。","","first time you meet mimi baker and all her bread puns, shes new in town","","","",""
"026","028","海賊退治のお礼","Pirate Ship Reward","ノイシュタットの街(→P213)","Neustadt","No.22 海賊船クリア~No.22 シデン領到着前","No.22 Pirate Ship Cleared ~ No.22 Arriving in Shiden Territory","下記参照","See Below","海賊船を退治したあと、 イレーヌ邸を出て北側の通 路にいるセイラーマンに話しかけると発生。海賊船退 治のお礼としてアイテムがもらえるが、 入手できるア アイテムは海賊船退治に要したプレイ時間で変化する。","After you have cleared the pirate ship, speak with the sailor to the north (?) of Ilene's house. He will give you a reward based on the amount of time you spent clearing the pirate ship.  ","お礼をもらうには条件が あり、ランクに応じてマテリ アルやレンズが入手できる。","▲ The requirements for obtaining the rewards are listed below.","Random dude gives you reward for clearing the ship under certain times. ","|Clear Rank|Reward|
|-----|-----|
|Rank 1: within 3 minutes|[Blast Material]|
|Rank 2: within 5 minutes|[Clear Lens] x50|
|Rank 3: more than 5 minutes|[Rough Lens] x 100|","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"027","029","漆黒の翼③","Dark Wings 3","ノイシュタットの街(→P213)","Neustadt","No.22 海賊船クリア~No.22 シデン領到着前","No.22 Pirate Ship Cleared ~ No.22 Arriving in Shiden Territory","-","-","上記の期間中に、 闘技場に入って左の医務室にいる 漆黒の翼に話しかけると発生。 彼らはコングマンが不 在をいいことに、自分たちが不戦勝でチャンピオンに なったと言い張る。 しかし、 スタンたちと一緒に戻っ てきたコングマンに彼らの主張は覆される。 報酬は ないが、 漆黒の翼の慌てっぷりがおもしろい。","This event takes place when you enter the hospital(?) on the left side of the arena. Here you will encounter the Dark Wings yet again. Taking advantage of Kongman's absence, they claim to be the champions of the arena. While there is no reward for this event, seeing them panic when Kongman arrives with Stahn and the others is quite amusing. ","このイベントは、港でコングマンがパーティから抜けるまでのあいだに見られる。","▲ This event is only accessible after the pirate ship and before Kongman leave the party at the port. ","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"028","030","姉弟②","Sibling 2","ノイシュタットの街(→P213)","Neustadt","No.22 海賊船クリア~No.22 シデン領到着前","No.22 Pirate Ship Cleared ~ No.22 Arriving in Shiden Territory","-","-","『姉弟1』(→P331)を見ていることが条件で、 前回 と同じノイシュタットの橋にいる女の子に話しかける と発生する。 モンスターの襲撃をきっかけに、 彼女は ルーティが「姉弟1」で語った言葉の真意を知る。","This event is triggered by speaking with the same girl on the bridge for [Siblings 1], assuming you completed the first event in the series. After the monster attack, she learns the truth behind Rutee's words.  ","実の姉弟ではないことに 苦悩していた彼女も、未曾 有の事件で目覚めた様子。","▲ Even though she had been struggling with the fact that they were not her true siblings, the unprecedented incident seems to have opened her eyes.","since this is after the monster attack on neudtach the girls is like, i really wanted to protect my sister even tho we werent blood related so what you said is true.","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","![](https://img.shields.io/badge/-Multipart-informational?style=for-the-badge&color=orange)",""
"029","031","ぼっちゃん①","Young Master 1","シデン領(→P218)","Shiden","No23 シデン領到着~No.28 トウケイ領到着前","No.23 Arriving in Shiden Territory ~ No.28 Before Arriving in Terrazi Territory","-","-","シデン領の道具屋近くにある橋の上で泣いている 子供に話しかけると発生する。 この子供は愛に飢えて わがままし放題のまさに坊ちゃん。 泣きじゃくって自 分がどれだけ不幸かを訴えるが、 この姿を見たリオン は甘えを感じ、 辛らつな言葉で冷たく突き放す。","This event occurs when you speak with a child crying on a bridge in Shiden. This child is starved for attention and has an obnoxiously selfish attitude. Leon cannot stand seeing such a display, especially from such a spoiled brat.","厳しい世界に生きるリオ ンにとって、 甘ったれた態度 は我慢がならない。","▲ The kid's attitude is unbearable for Leon since he had a tough upbringing ","the kids complain about his father and leon is like you need to change not him, if youre a boring kid it's your problem and you need to change that","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","![](https://img.shields.io/badge/-Multipart-informational?style=for-the-badge&color=orange)",""
"030","032","すっきりお姉さん","Neat Sister","シデン領 (→P218)","Shiden","No.25 海底洞窟クリア~","No.25 Undersea Cave cleared~","ルーティ称号「すっきりお姉さん」","Rutee's title [Neat Sister]","シデン領のシデン家の屋敷の前にいる女の子に話 しかけると、 ルーティがキレイだとほめられる。 そして 「あたしの顔に何かついてる?」という選択肢を選ぶ と、称号「すっきりお姉さん」が手に入る。","Speak with the girl in front of the Shiden Family mansion and she will compliment Rutee on her beauty. Choose the dialogue option of ""Do I have something on my face?"" to receive the title of Neat Sister. ","「すっきりお姉さん」の称号 がないと、のちの『封印男』 (→P346)が発生しない。","▲ The title [Neat Sister] is mendatory to trigger the event ""Sealed Man"" [Side-event 108](projects/destiny-dc/stahn-guide?id=side-event-108-Sealed-Man) ","","","","",""
"031","033","漆黒の翼④","Dark Wings 4","シデン領(→P218)","Shiden","No.25 モリュウ領到着~No.28 トウケイ領到着前","No.25 Arriving in Moreau ~ No.28 Before arriving in Terazzi","-","-","上記期間中にシデン領のシデン家屋敷の前にいる 漆黒の翼に近づくと発生。 漆黒の翼たちは助っ人が自 分たちだと住人に主張するが、 人々は皆助っ人がスタ たちだと思っているため信じようとしない。これも すべて男ふたり女ひとりという組み合わせゆえの不 無。このサブイベントを見ても報酬はもらえない。","The Dark Wings are back again. This time, they appear in front of the Shiden Family mansion. They claim to be the ones hired to assist. It doesn't take long before the ruse is discovered and the Dark Wings are foiled once again. No reward is given for this side-event","彼らに声をかけても、 ス タン一行が入れ違いで助っ 人になったことはバレない。","","since the party are the one that gor recruted and not the dark wings, they get in trouble for double pretenting they are themself.","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"032","034","マチエル・シデン","Michel Shiden","シデン領(→P218)","Shiden","No.25 モリュウ領到着~No.28 トウケイ領到着前","No.25 Arriving in Moreau ~ No.28 Before arriving in Terazzi","-","-","シデン領の港の橋へ行くと発生。 住人に問い詰めら れている青年をかばうジョニー。 彼からアクアヴェイ ルを建国したマチエル・シデンの話が聞ける。 このサ ブイベントは期間が短く、 見る場合はモリュウ領から 海底洞窟を通ってシデン領に戻る必要がある。","This event occurs when you go to the bridge at Shiden Port. Johnny is defending a boy who is being questioned by the residents. He will tell you a story about Michel Shiden, the founder of Aquaveil. In order to see this event, you must return to Shiden from Moreau through the underwater caves. ","ジョニーから先祖の話を 聞かされた人々は、目が覚 めて言い争いをやめる","","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"033","035","エレノア・リンドウ①","Eleanor 1","モリュウ領(→P222)","Moreau","No.27 モリュウ城クリア~No.28 トウケイ領到着前","No.27 Clear Moreau's Castle ~ No.28 Before arriving in Terazzi","-","-","モリュウ城を攻略したあと、モリュウ領の船場から 小舟に乗ってジョニーの隠れ家に向かおう。 すると、 ジョニーと彼の幼なじみであるフェイトとエレノアの 思い出を綴る回想シーンを見ることができる。","After clearing Moreau Castle, take a small boat to Johnny's hideout. You will see a scene where Johnny reminises about his childhood friends, Fate and Eleanor. ","ジョニーの回想イベント を見たあと、鎧を調べると 「隕石の欠片」が手に入る。","","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","![](https://img.shields.io/badge/-Multipart-informational?style=for-the-badge&color=orange)",""
"034","036","シデン家末っ子","Shiden's Youngest","モリュウ領(→P222)","Moreau","No.27 モリュウ城クリア~No.28 トウケイ領到着前","No.27 Clear Moreau's Castle ~ No.28 Before arriving in Terazzi","ジョニー称号「シデン家末っ子」","Johnny's title [Shiden's Youngest]","モリュウ領の地下倉庫屋上にいる男に話しかけると 発生。 出現する選択肢は「道化の…･････」が正しい答え となる。 ジョニーを毛嫌いする男に対してジョニーは これを甘んじて受け入れる態度を示し、スタンたちに 器の大きさを見せつける。 小舟で建物に移動すると 屋上に上がれないので徒歩で向かおう。","This event is triggered when you speak with the man on the roof of the underground warehouse in Moreau. Choose the dialogue option of ""I'm just the clown know as..."" to witness a scene where the man shares his disdain for Johnny's lifestyle. Stahn and the others are impressed with how he handles the matter, earning him this title. You will not be able to get to this building using a small boat(?), so you'll need to go on foot. ","会話中、上の選択肢を選 べばジョニーの称号「シデン 「家末っ子」を入手可能だ。","","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"035","037","アルツール・シデン","Arthur Shiden","シデン領(→P218)","Shiden","No.27 モリュウ城クリア~No.28 トウケイ領到着前","No.27 Clear Moreau's Castle ~ No.28 Before arriving in Terazzi","-","-","ジョニーに称号「シデン家末っ子」をセットして、 シデ ン領のシデン家屋敷にいるアルツール・シデンに話し かけると発生。 領主を降ろされて以来しょげている彼 は、ジョニーが新たな大王になってくれることを願う が、当のジョニーは父の話に耳を貸さない。","Speaking with Arthur Shiden while Johnny has [Shiden's Youngest] title to trigger this event. You will find Aruthure Shiden in the Shiden Family Mansion. He is despondent as he is no longer a lord. He hopes that Johnny with become the next great king. However, Johnny refuses to listen. ","宝剣が盗まれたことで領 主の座を追われた彼に、 以 前のような覇気はなかった。","","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"036","038","漆黒の翼⑤","Dark Wings 5","港町スノーフリア (→P234)","Frostheim"," No.31 ウッドロウ、チェルシー加入~No.36 グレバム戦前","No.31 Woodrow & Chelsea joins ~ No.36 Before Greybum's Battle","-","-","スノーフリアの宿屋にいる漆黒の翼に近づくと発  生。 彼らが「伝説の傭兵」を名乗り、 無銭飲食をしてい  る場面に出くわす。 実力もないのに大口を叩く彼らを  見て、弓匠アルバは巧みな話術で彼らを操る。","Approach the Dark Wings in Frostheim to see additional antics. They claim to be ""legendary mercenaries,"" and indulge in food and drink without intending to pay. They are no match for Master Alba, who cons them into clearing snow from his roof. ","アルバの話にまんまと乗  せられ、3人はやる気満々で  屋根の雪降ろしに向かう","","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"037","039","Cursed Beauty","Rose of Seinegald","港町スノーフリア(→P234)","Frostheim"," No.31 ウッドロウ、 チェルシー加入~","No.31 Woodrow & Chelsea joins ~","リオン称号「セインガルドの薔薇」","Leon's title [Rose of Seinegald]","スノーフリア出入口付近にいる女性に話しかけると  発生。選択肢は「(無視)」を選ぼう。 リオンの  ファンを公言する彼女はセインガルドでリオンの姿を  見かけて以来、ずっと女剣士だと勘違いをしているら  しい。 そのため、 彼女は目の前にいる男が憧れの人物  リオン本人であることに気がつかない。","Speaking to a woman near the entrance of Frostheim triggers this event. If you ignore her, she professes her adoration for Leon, which started as soon as she saw them in Seinegald. She seems to be mistaken that Leon is a girl, not realize the beautiful man before her is the man of her dreams.  ","結局、リオンは彼女の大  きな勘違いを解かぬままイ  ベントは終了する。","","Leon is mistaken for a beutifull woman and he's offended","","","",""
"038","040","美人薄命","Cursed Beauty","港町スノーフリア(→P234)","Frostheim"," No.31 ウッドロウ、チェルシー加入~","No.31 Woodrow & Chelsea joins ~","チェルシー称号「美人薄命」
","Chelsea's title [Cursed Beauty]","スノーフリアの道具屋の左隣の家にいる青年に話しか  けると発生。 ふたつの選択肢が出現するが、 ここは  「(結構かっこいい人ですねぇ)」が正解。青年の言葉を  聞き、 妄想にふけるチェルシー。 勘違いから巻き起こ  る彼女の暴走っぷりがなかなか可愛い。","","「リアーナ姫」 (→P341)  を発生させるには、ここで  入手する称号が必要。","","Chelsea think the boy is confesing to her but in the end she's dissilutioned","","","",""
"039","041","イザークの息子","Isaac's Son","サイリルの街 (→P238)","Cyril"," No.33 マリーの記憶復活~","No.33 Marie's memories returned","ウッドロウ称号「イザークの息子」","Woodrow's title [Isaac's Son]","サイリルの食材屋にいる少年に話しかけると発生。  選択肢は「どうしたのだ少年?」 が正解。 少年にウッド  ロウの正体がファンダリア王子であることがバレそう  になるが、自らのポリシーを貫くウッドロウの姿を見  て、少年はウッドロウに対する見方を変える。","","「世紀のモテ男決定戦」  (→P339) を発生させるに  は、この称号が必要になる。","","","","","",""
"040","042","元義勇軍メンバー","Former Soldier","サイリルの街 (→P238)","Cyril"," No.33 マリーの記憶復活~","No.33 Marie's memories returned","マリー称号「元義勇軍メンバー」","Mary's title [Former Soldier]","サイリルでマリーの記憶が戻ったあと、 家の外で雪  かきをするおじさんに話しかけると発生。 選択肢は  「あなたに見覚えはあるのだが……」 を選ぼう。 彼は  マリーに傭兵時代に見かけたことがあると告げる。","","おじさんから、 義勇軍時  代のマリーに関する話を少  しだけ聞くことができる。","","","","","",""
"041","043","クリスを知る者","Chris' Old Acquaintance","国境の街ジェノス (→P182)","Janos"," No.33 マリーの記憶復活~No.36 グレバム戦前","No.33 Marie's memories returned No.36 Before Greybum's Battle","リオンブラストキャリバー 「魔神煉獄殺」","Rutee's blast caliber [Infernal Suffering]","期間中、リオンがパーティに加入している状態で、 ジ
 ェノスの門番に話しかけると発生するサブイベント。
 リオンの母親であるクリスを知る門番の兵士から、 彼
 女の幼い頃の話が聞ける。 このとき、リオンのブラス
 トキャリバー 「魔神煉獄殺」を習得できるが、 すでに習
 得している場合は何ももらえない。","","発生期間がかなり短いの  で、マリーの記憶が戻った  あとに訪れるといいだろう。","","Soldier is like, hey leon i knew your mom she was hot, and then leon is like nah she dead bro","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"unique","044","レイノルズの実験","","首都ダリルシェイド(→P022)","Darilsheid","No.33 第二部開始~","","リオン称号 「突然の来訪者」","Leon's title [Sudden Visitor]","発生期間中に、 セインガルド城中庭の左奥にあるレ イノルズの研究室へ行き、 レイノルズに話しかけると発 生。 たまたま訪れたリオンを見て、ちょうどよかった と漏らすレイノルズ。 彼に新しい実験の被験者を頼ま れ、 リオンはしぶしぶ付き合う羽目になる。","","◆見るからに危険な実験の
結果は、しゃっくりをさせる
というだけのもの。","","","","","",""
"unique","045","アルバと再会","","トーンの山小屋 (P027)","Torn's Cabin","No.33 第二部開始~","","リオン称号 「突然の来訪者」","Leon's title [Sudden Visitor]","トーンの山小屋内にいるアルバに話しかけると発生
する。 スノーフリアでウッドロウたちを助けたことを感
謝するアルバ。 そんな彼から、 ハイデルベルグのウッ
ドロウたちにも会ってやってほしいと告げられる。","","◆トーンの山小屋は、フィー ルドマップからも行ける。 ジ ェノスのすぐ隣だ。","","","","","",""
"unique","046","クレメンテと再会","","ストレイライズ神殿 ( →P036)","Straylize Temple","No.33 第二部開始~","","リオン称号 「突然の来訪者」","Leon's title [Sudden Visitor]","上記の発生期間中に、ストレイライズ神殿入ってす ぐのとろこにいる神官に話しかけると発生。 倉庫にし まったはずの「クレメンテ」が見つからないと話す神官。 そしてリオンは、「クレメンテ」を探してくれと頼まれる。 「クレメンテ」 がある場所は、大聖堂上を通る通路の先 この部屋。 無事 「クレメンテ」を見つけると、 彼から意外 な話を聞かされる。","","◆迎えにこなくてよかった と話す「クレメンテ」。 その 理由が実に彼らしい。","","","","","",""
"unique","047","ジョニーと再会","","港町スノーフリア(→P074)","Frostheim","No.33 第二部開始~","","リオン称号 「突然の来訪者」","Leon's title [Sudden Visitor]","スノーフリアの港にいるジョニーに話しかけると発 生する。 偶然再会したことを喜ぶジョニー。 なぜここ いるのかと聞くと、 アクアヴェイルの大使として来た という。 しばしの歓談のあと、 ジョニーは帰還する。","","◆フェイトに命じられたと嘆 くジョニー。 相変わらず道 化を貫いている様子。","","","","","",""
"unique","048","リオンの温泉","","港町スノーフリア(→P074)","Frostheim","No.33 第二部開始~","","リオン称号「胸までタオル」","Leon's title [Chest Towel]","スノーフリアにある温泉にいる、 温泉受け付けに話 しかけ 「はい」を選択すると発生する。 男湯が壊れてい るため、女湯へ入ることになったリオン。 だが、 受け付 けが席を外した隙に女性客が入ってきてしまい、リオ ンはあわてふためく。 シャルティエの機転により無事 最悪の事態は免れるが、完全に女だと思われてしまっ たことに、リオンのプライドは傷つくのだった。","","■胸までタオルを巻いたリ オンの姿は必見。 どう見て も女性にしか見えない?","","","","","",""
"unique","049","ダリスと再会","","サイリルの街 (→P078)","Cyril","No.33 第二部開始~","","リオン称号 「突然の来訪者」","Leon's title [Sudden Visitor]","サイリルの武具屋から階段を登った先にある、 見張 り塔のダリスに話しかけると発生。 ダリスの体を気遣 うリオン。 そんな彼に、 ダリスは罪人扱いであったマ リーを逃がしてくれたことを感謝する。","","◆心から感謝を述べるダリ ス。 彼の真摯な思いを受け、 リオンは照れる一方。","","","","","",""
"unique","050","マリーと再会","","サイリルの街 (→P078)","Cyril","No.33 第二部開始~","","リオン称号 「突然の来訪者」","Leon's title [Sudden Visitor]","サイリルにあるマリーの家へ行き、 台所のマリーに 話しかけると発生する。 元気そうに暮らす彼女を見て 安心するリオン。 マリーは夕食をご馳走するというが、 任務の途中であるリオンはその誘いを断る。","","◆味に定評があるマリーの 手料理。 残念ながら味わう のは次の機会となる。","","","","","",""
"unique","051","ウッドロウと再会","","首都ハイデルベルグ (→P080)","Heidelberg","No.33 第二部開始~","","リオン称号 「突然の来訪者」","Leon's title [Sudden Visitor]","ハイデルベルグ城、 玉座の間の手前にある部屋にい るウッドロウに話しかけると発生する。 忙しげに資料 を探すウッドロウ。 何を探しているのかと聞くと、 神の 眼封印施設に配置した守護者が気になるという。","","■少ない手がかりを求めシャルティエに意見を求めるも、謎は解明しない。","","","","","",""
"unique","052","ダーゼンと再会","","首都ハイデルベルグ (→P080)","Heidelberg","No.33 第二部開始~","","リオン称号 「突然の来訪者」","Leon's title [Sudden Visitor]","ハイデルベルグ城の玉座の間にいるダーゼンに話 しかけると発生するサブイベント。 ウッドロウが王位を 継承したことを話し合うふたり。 ダーゼンから、 国王 として働くウッドロウの日々の努力を聞かされる。","","","","","","","",""
"unique","053","チェルシーと再会","","首都ハイデルベルグ (→P080)","Heidelberg","No.33 第二部開始~","","リオン称号 「突然の来訪者」","Leon's title [Sudden Visitor]","発生期間中に、 ハイデルベルグ城奥にある、 玉座の 間手前の部屋にいるチェルシーに話しかけると発生 する。 壁にかけられたウッドロウの母親の肖像画を見 て、どのように呼べばいいか悩むチェルシーの様子が 見られるサブイベントだ。","","","","","","","",""
"unique","054","フィリアと再会","","ストレイライズ神殿(→P036)","Straylize Temple","No.36 隊長任命後~","","リオン称号 「突然の来訪者」","Leon's title [Sudden Visitor]","発生期間中に、ストレイライズ神殿の入口にいるフ ィリアに話しかけると発生するサブイベント。 破壊さ れた神殿を再建するため、 励むフィリアだったが、 神 の眼の置き場所を懸念している様子。","","◆神の眼の一件以来、不穏な神殿の内情を見て、彼女は頭を悩ませる。","","","","","",""
"149","055","調達クエスト","Procurement Quest","世界各地","Around the world","No.04 ジェノス到達時~","No.04 Arriving in Janos ~","下記参照","See Below","世界各地にいる交易商人に決められたアイテムを規 定個数届けると、 報酬としてガルドがもらえるお使いイ ベント。 商人たちから仕事を請け負った段階で報酬の 半額が着手金として支払われ、 仕事が完了したあとに 届け先の商人から残り代金が支払われるルールになっ ている。 なお、第二部になってからこの 『調達クエスト』 一度でもこなすと、 下記の各種称号が手に入る。","","引き受けた仕事を途中で 放棄してしまうと、違約金を 払わされることになる。","","Multiple Tables","","","",""
"150","056","かけっこ","Race Game","ノイシュタットの街(→P213)","Neustadt","No.20 ノイシュタット到着~","No.20 Arriving in Neustadt ~","下記参照","See Below","ノイシュタットの噴水広場にいる少年に話しかける と、少年とかけっこをすることができる。 コースは下 の図を参考にしよう。 1回目 (No.20 ノイシュタット到 着〜)は、コースさえ間違えなければ勝つのはたやす い。しかし2回目(No.61 レイノルズ復帰~)は、少し でも障害物に引っかかると少年に簡単に追い抜かれ てしまう。 コースだけでなく通行人の動きもしっかり 把握して走ろう。 なお、 初回勝利時とそれ以降では下 記のように報酬が変化する。","","","","Multiple Tables + Graphics","","","",""
"151","057","石蹴り遊び","Rock Rally","世界各地","Around the world","各地到着時~","After arriving in each locations ~","下記参照","See Below","フィールド上に無造作に転がっている石を、 決めら れた場所まで蹴って運ぶことで達成できるミニゲー ム。 このゲームはファンダリアを除く4つの地方でプ レイが可能で、クリアするとその地方におけるレンズ レートが上昇。 成功させてからレンズをショップで換 金すれば、効率よくガルドを増やすことができる。 各 地方での石蹴り遊びの概要については、下記のとおり。 このうち、 セインガルド地方だけはかなり早い段階で 石を蹴ることができるが、ゴールのアルメイダの村に 進めるようになるまでは蹴っても意味がない。","","","","Multiple Graphics","","","",""