"Sub","Japanese Title","English Title","Japanese Location","English Location","Japanese Period","English Period","Japanese Reward","English Reward","Japanese Main Text","English Main Text","Japanese Image Text","English Image Text","Comments","Excel Table","Missable","Multipart","New Game+"
"01","ワンダーシェフ登場","Wonder Chef","ユークリッド村ほか","Euclid Village and others","","","各種レシピと食材、 貴重品 「万能包丁k」","Recipes, ingredients, and item [All-Purpose Knife]","第一部でユークリッド村を訪れた際にワンダーシェ フに出会い、 おにぎりのレシピと食材3セットをもらえ る。 以降は各地でさまざまな物に変装しているワン ダーシェフを見つけてレシピと食材を入手しよう。 下 の表に記載しているワンダーシェフにすべて出会っ たあと、 ユークリッド村でゴエモン風呂に変装してい るワンダーシェフを調べると、 貴重品の「万能包丁 «」をもらえる。 これは料理の追加食材の効果が10 %アップするという便利なアイテムだ。 あとは料理をく り返して全レシピのマスターを目指そう。","When you visit Euclid Village in the first part, you will meet the Wonder Chef, who will give you a recipe for onigiri (rice balls) and three sets of ingredients. After that, you will find Wonder Chefs disguised as various objects in various locations, and you will receive the recipe and ingredients. After meeting all of the Wonder Chef listed in the table below, check out the WonderChef disguised as a Goemon bath in Euclid Village and you will receive a valuable item, the [Universal Kitchen Knife]. This is a useful item that increases the effect of additional ingredients in cooking by 10%. Now it's time to start cooking again and again to master all the recipes.","","","","","","",""
"02","","","","","","","","","","","","","","","","",""
"03","","","","","","","","","","","","","","","","",""
"04","","","","","","","","","","","","","","","","",""
"05","","","","","","","","","","","","","","","","",""
"06","","","","","","","","","","","","","","","","",""
"07","","","","","","","","","","","","","","","","",""
"08","","","","","","","","","","","","","","","","",""
"09","","","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","",""
"13","","","","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","","",""
"17","","","","","","","","","","","","","","","","",""
"18","","","","","","","","","","","","","","","","",""
"19","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","",""
"21","","","","","","","","","","","","","","","","",""
"22","","","","","","","","","","","","","","","","",""
"23","","","","","","","","","","","","","","","","",""
"24","","","","","","","","","","","","","","","","",""
"25","","","","","","","","","","","","","","","","",""
"26","","","","","","","","","","","","","","","","",""
"27","","","","","","","","","","","","","","","","",""
"28","","","","","","","","","","","","","","","","",""
"29","","","","","","","","","","","","","","","","",""
"30","","","","","","","","","","","","","","","","",""
"31","","","","","","","","","","","","","","","","",""
"32","","","","","","","","","","","","","","","","",""
"33","","","","","","","","","","","","","","","","",""
"34","","","","","","","","","","","","","","","","",""
"35","","","","","","","","","","","","","","","","",""
"36","","","","","","","","","","","","","","","","",""
"37","","","","","","","","","","","","","","","","",""
"38","","","","","","","","","","","","","","","","",""
"39","","","","","","","","","","","","","","","","",""
"40","","","","","","","","","","","","","","","","",""
"41","","","","","","","","","","","","","","","","",""
"42","","","","","","","","","","","","","","","","",""
"43","","","","","","","","","","","","","","","","",""
"44","","","","","","","","","","","","","","","","",""
"45","","","","","","","","","","","","","","","","",""
"46","","","","","","","","","","","","","","","","",""